Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport
2.85,100.0,Không,1,1,5.0,20.0,2,15.9826151,108.2196458, Liêm Lạc 21,Hòa Xuân,cẩm lệ,2,9.58169391243945,8.56926792618709,8.453068542238507
2.85,60.0,Không,1,1,4.0,15.0,1,16.0249026,108.2137169, Bình Hòa 2,Khuê Trung,cẩm lệ,2,5.717296127067109,3.8532678442169193,3.766419272085646
2.8,90.0,Không,0,1,5.0,18.0,2,16.0151267,108.2044735, Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2,7.181439370379863,4.987992051813158,4.661734955715325
3.15,110.0,Không,0,1,9.0,12.0,1,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,2,7.905836607919737,5.343723328342092,4.853666284353989
6.7,110.0,Không,1,1,5.0,22.0,3,16.0063777,108.2078822, Phạm Hùng,Hòa Xuân,cẩm lệ,2,7.742359078689389,5.910516326332974,5.653504684737835
2.25,78.0,Không,0,1,6.0,13.0,2,16.0154645,108.1976131, Phạm Viết Chánh,Hòa Thọ Đông,cẩm lệ,2,7.64656835515986,5.116476229020093,4.651864122132446
2.2,76.0,Không,0,1,4.6,16.0,2,16.0151267,108.2044735, Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2,7.181439370379863,4.987992051813158,4.661734955715325
2.1,84.0,Không,0,1,4.0,21.0,2,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.5626070190734715,3.976662923297844,3.9759391368219577
2.25,100.0,Không,0,1,5.0,20.0,1,16.0205599,108.2060848, Bùi Xương Trạch,Khuê Trung,cẩm lệ,2,6.614557995152835,4.368088406493078,4.072956692338711
1.5,66.0,Không,0,1,4.0,16.5,1,16.0137464,108.2044932, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,2,7.297900694485221,5.138657187986884,4.814435111087388
2.25,80.0,Không,0,1,6.0,13.5,2,16.0172805,108.201628, Triệu Quốc Đạt,Hòa Thọ Đông,cẩm lệ,2,7.204491664628993,4.811174414109968,4.420774678185881
2.05,56.0,Không,0,1,7.0,8.0,2,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2,5.5626070190734715,3.976662923297844,3.9759391368219577
15.0,6.0,Không,1,0,5.5,12.0,5,16.0604012,108.2170183, Hoàng Diệu,Nam Dương,hải châu,4,3.304327533355402,0.5810390622936686,1.5756969397271998
7.2,78.0,Không,1,0,5.5,14.5,3,16.0347762,108.217907, Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,4,4.600617116849255,2.8346870991995337,2.9710381873312732
7.3,66.0,Không,1,0,4.1,16.0,3,16.066751,108.2418371, Phước Mỹ 3,Phước Mỹ,sơn trà,3,0.6448893017958006,3.3247017190452794,4.322154753588128
6.5,68.0,Không,1,0,5.0,13.5,3,16.0482538,108.2223433, Tống Phước Phổ,Hòa Cường Bắc,hải châu,4,3.265485097425974,1.7047286767759406,2.3275900263067455
16.5,125.0,Không,1,0,5.0,25.0,4,16.0407896,108.2111494, Nguyễn Hữu Thọ,Hòa Cường Bắc,hải châu,4,4.72051048174597,2.0894873395519493,2.0319746507239835
14.2,125.0,Không,1,0,5.0,24.0,4,16.0577109,108.2071212, Nguyễn Tri Phương,Thạc Gián,thanh khê,7,4.398151517273825,0.5298745855721378,0.4799047847964753
3.995,70.0,Không,1,0,5.0,14.0,2,16.0732069,108.1728305, Dương Bích Liên,Hòa Minh,liên chiểu,6,8.047455678927445,4.41483061291276,3.649883980986675
16.0,100.0,Không,1,0,5.0,20.0,5,16.0376383,108.2228608, Phan Đăng Lưu,Hòa Cường Bắc,hải châu,4,4.009143855461245,2.7171522161216495,3.060147884876638
100.0,450.0,Không,1,0,15.0,30.0,14,16.0524115,108.2090289, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,4,4.346895782169306,0.8500454561579067,0.8639978075900642
9.0,11.0,Không,1,0,5.0,22.0,3,16.0327176,108.2293459, Nguyễn Lộ Trạch,Hòa Cường Nam,hải châu,4,4.058209094802376,3.532976894134707,3.937227333857682
13.0,90.0,Không,1,0,4.5,20.0,6,16.072439,108.1962625, Nguyễn Tất Thành,Xuân Hà,thanh khê,7,5.550718722118796,2.1692806174809904,1.818411033811475
12.0,135.0,Không,1,0,5.37,25.0,2,16.0382864,108.2213353, Núi Thành,Hòa Cường Bắc,hải châu,4,4.066315876444203,2.5832374518382917,2.8948143390259196
5.8,63.0,Không,0,0,4.2,15.0,4,16.0602491,108.2136695, Nguyễn Văn Linh,Vĩnh Trung,thanh khê,7,3.6613011326956393,0.2263800987938418,1.2243334529593215
9.8,105.0,Không,0,1,10.246950765959598,10.246950765959598,5,16.078156,108.2150772, Lý Tự Trọng,Thanh Bình,hải châu,4,3.7717234117749943,2.0788740580823646,2.670660212424873
4.09,55.0,Không,0,1,5.0,11.0,1,16.0596195,108.2093288, Nguyễn Văn Linh,Thạc Gián,thanh khê,7,4.13094936696028,0.24753649081617188,0.7609430218852311
4.5,55.0,Không,0,0,5.0,11.0,2,16.0554131,108.1876616, Trần Xuân Lê,An Khê,thanh khê,7,6.493299841923051,2.6087538712694984,1.6178394636779412
5.3,125.0,Không,0,0,7.8,16.0,1,16.0196547,108.2034422, Ông Ích Đường,Khuê Trung,cẩm lệ,2,6.880027276664343,4.513698798212869,4.157485356279752
8.3,8.0,Không,0,0,4.5,18.4,3,16.0648993,108.2240258, Thái Phiên,Phước Ninh,hải châu,4,2.516938226816495,1.4461440412470303,2.438565416272937
6.5,106.0,Không,0,0,7.0,15.0,1,16.0522316,108.2404204, An Thượng 24,Mỹ An,ngũ hành sơn,1,1.5949883063973962,3.1874459659710994,4.077481194437008
