Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport,Prices_normalized,prices_capped,log_prices,Area_capped,log_Area,floors_capped,width_capped,log_width,length_capped,log_length
2.8,70.0,Không,0,1,6.0,12.0,1,16.0929062,108.2484832, Võ Duy Ninh,Thọ Quang,sơn trà,3,3.101851419860263,5.3914983589475565,6.295157134681375,0.005732484076433121,2.8,1.0296194171811581,70.0,4.248495242049359,1,6.0,1.791759469228055,12.0,2.4849066497880004
2.55,65.0,Không,0,1,4.5,15.0,2,16.0674661,108.1932536, Thái Thị Bôi,Chính Gián,thanh khê,7,5.816508032438447,2.148548751079927,1.5167105211395546,0.004936305732484076,2.55,0.9360933591703348,65.0,4.174387269895637,2,4.5,1.5040773967762742,15.0,2.70805020110221
3.2,70.0,Không,0,1,5.0,13.0,2,16.0718385,108.1883741, Trần Cao Vân,Xuân Hà,thanh khê,7,6.378068160242131,2.830663747943176,2.226242239621569,0.0070063694267515925,3.2,1.1631508098056809,70.0,4.248495242049359,2,5.0,1.6094379124341003,13.0,2.5649493574615367
2.15,60.0,Không,0,1,4.5,15.0,2,16.0415679,108.1813377, Tôn Đản,Hòa An,cẩm lệ,2,7.540386123959919,3.81132784558817,2.864890139485825,0.0036624203821656047,2.15,0.7654678421395714,60.0,4.0943445622221,2,4.5,1.5040773967762742,15.0,2.70805020110221
3.65,80.0,Không,0,1,4.5,18.0,1,16.044107,108.2060114, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,4,5.004469849198954,1.824090898313722,1.494315801070678,0.008439490445859872,3.65,1.2947271675944,80.0,4.382026634673881,1,4.5,1.5040773967762742,18.0,2.8903717578961645
1.65,55.0,Không,0,1,4.5,14.0,1,16.0595231,108.179155, Trường Chinh,Hòa An,cẩm lệ,2,7.342261974734708,3.4761945440084063,2.528594798354249,0.0020700636942675155,1.65,0.5007752879124892,55.0,4.007333185232471,1,4.5,1.5040773967762742,14.0,2.6390573296152584
2.7,120.0,Không,0,1,5.0,24.0,2,16.0912421,108.2445524, Ngô Quyền,Thọ Quang,sơn trà,3,2.933658679472832,4.9607252355791065,5.8533697970942535,0.005414012738853504,2.7,0.9932517730102834,120.0,4.787491742782046,2,5.0,1.6094379124341003,24.0,3.1780538303479458
3.15,100.0,Không,0,1,4.5,22.0,2,16.0723048,108.1472133, Đồng Kè,Hòa Khánh Bắc,liên chiểu,6,10.766967754382824,7.034231089625177,6.163786505545406,0.006847133757961783,3.15,1.1474024528375417,100.0,4.605170185988092,2,4.5,1.5040773967762742,22.0,3.091042453358316
1.85,120.0,Không,0,1,5.0,24.0,1,16.0031472,108.1876854, Nguyễn Như Đỗ,Hòa Thọ Tây,cẩm lệ,2,9.366062087864112,6.759358797217937,6.194398151067429,0.002707006369426752,1.85,0.6151856390902335,120.0,4.787491742782046,1,5.0,1.6094379124341003,24.0,3.1780538303479458
3.69,70.0,Không,0,1,4.5,16.0,2,16.0583615,108.1683251, Tô Hiệu,Hòa Minh,liên chiểu,6,8.507768670810812,4.637246247012794,3.676714756835964,0.00856687898089172,3.69,1.3056264580524357,70.0,4.248495242049359,2,4.5,1.5040773967762742,16.0,2.772588722239781
3.65,90.0,Không,0,1,5.0,18.0,3,16.0392505,108.1852671, Tôn Đản,Hòa Phát,cẩm lệ,2,7.243350763046908,3.6151117691300856,2.723808498087963,0.008439490445859872,3.65,1.2947271675944,90.0,4.499809670330265,3,5.0,1.6094379124341003,18.0,2.8903717578961645
2.83,110.0,Không,0,1,5.0,22.0,2,16.0756243,108.2319079, Ngô Quyền,An Hải Bắc,sơn trà,3,2.0522137939375127,2.796568797472516,3.733505998421484,0.0058280254777070065,2.83,1.0402767116551463,110.0,4.700480365792417,2,5.0,1.6094379124341003,22.0,3.091042453358316
1.49,36.0,Tây,0,1,4.1,8.78048780487805,2,16.0751042,108.2073603, Trần Cao Vân,Tam Thuận,thanh khê,7,4.446100836465397,1.7687584978483872,2.042094465794425,0.0015605095541401273,1.49,0.3987761199573678,36.0,3.58351893845611,2,4.1,1.410986973710262,8.78048780487805,2.172531964745848
5.35,125.0,Không,1,1,5.0,25.0,2,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,2,7.905836607919737,5.343723328342092,4.853666284353989,0.013853503184713374,5.35,1.6770965609079151,125.0,4.8283137373023015,2,5.0,1.6094379124341003,25.0,3.2188758248682006
3.9,100.0,Không,1,1,5.0,20.0,2,16.0003372,108.2132929, Lỗ Giáng 6,Hòa Xuân,cẩm lệ,2,8.029127266028906,6.567619091972675,6.3962359635519785,0.009235668789808917,3.9,1.3609765531356006,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
6.35,110.0,Không,1,1,5.5,20.0,3,16.0172054,108.2084021, Phan Văn Trị,Khuê Trung,cẩm lệ,2,6.737453259158979,4.711399097584559,4.470048515679327,0.017038216560509554,6.35,1.8484548129046001,110.0,4.700480365792417,3,5.5,1.7047480922384253,20.0,2.995732273553991
5.8,100.0,Không,1,1,5.0,20.0,2,16.0140539,108.2065002, Đặng Văn Ngữ,Khuê Trung,cẩm lệ,2,7.137386580316552,5.077269085625017,4.794029631415255,0.015286624203821656,5.8,1.7578579175523736,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
