price,area,road_width,floors,bedroom,garage,latitude,longitude,District,distance_to_beach,distance_to_center,distance_to_airport
2.1,68.0,25.0,1.0,2.0,0,16.0396364,108.1823111,2,7.621663547225934,4.952750057487002,2.851563478269206
1.5,60.0,4.0,1.0,1.0,0,16.0138538,108.1958513,2,8.238889930003024,6.033348209180242,4.533765464768642
3.0,105.0,25.0,1.0,2.0,0,16.0167429,108.2047675,2,7.391672603249552,5.346142432216131,4.119702301860298
2.95,100.0,25.0,1.0,2.0,0,16.020567,108.212513,2,6.569364198160634,4.69886197048919,3.7956312036145623
2.45,54.0,25.0,2.0,2.0,0,16.047518,108.1762504,2,7.887651493089931,5.193991186742518,3.1014860107355133
2.95,60.0,4.0,2.0,3.0,0,16.0469583,108.1789684,2,7.633268522780868,4.938445856203561,2.8355710389382254
3.5,100.0,45.0,3.0,4.0,0,16.0451248,108.1795928,2,7.641902998966355,4.94819469658106,2.8348856661878985
2.6,114.0,3.0,1.0,2.0,0,16.0172805,108.201628,2,7.551274418853575,5.419767148725123,4.071338529492124
3.05,108.0,3.0,2.0,3.0,0,16.041122,108.184901,2,7.300358969740341,4.63054222834679,2.5298626178683956
2.85,118.0,55.0,2.0,3.0,0,15.9921331,108.2064071,4,9.632388416506977,7.911953127256106,6.846042632867319
2.8,98.0,25.0,2.0,3.0,0,16.0137674,108.204925,2,7.648258259983392,5.649692828636618,4.449116032038919
2.05,66.0,2.0,1.0,1.0,0,16.0203761,108.204959,2,7.060886601353235,4.964378219805482,3.7179114693829725
1.85,34.0,3.0,1.0,1.0,0,16.0577595,108.2145929,1,3.645149272049158,0.958593605581098,1.162942081688391
2.45,50.0,2.0,2.0,3.0,0,16.0562861,108.217152,1,3.462987950868189,0.8430574193425245,1.382520454243423
2.6,4.0,25.0,2.0,2.0,0,16.0590007,108.2212969,1,2.9328827156797974,0.34655550612864255,1.8860903876318214
2.7,50.0,25.0,2.0,3.0,0,16.0590007,108.2212969,1,2.9328827156797974,0.34655550612864255,1.8860903876318214
3.6,5.0,3.0,4.0,4.0,0,16.041122,108.184901,2,7.300358969740341,4.63054222834679,2.5298626178683956
2.9,77.0,2.0,2.0,3.0,0,16.0524731,108.1804256,2,7.29902029847883,4.61645085416652,2.5767000133945688
2.45,50.0,4.0,2.0,2.0,0,16.0524731,108.1804256,2,7.29902029847883,4.61645085416652,2.5767000133945688
1.85,104.0,35.0,1.0,2.0,0,16.0031472,108.1876854,2,9.707584021587582,7.493282168574259,5.90347856952956
2.35,71.0,25.0,2.0,2.0,0,16.0138538,108.1958513,2,8.238889930003024,6.033348209180242,4.533765464768642
2.75,75.0,4.0,2.0,5.0,0,16.0658589,108.2010178,3,4.849776746939984,2.333662109027143,1.3660301919318862
2.75,61.0,6.0,2.0,2.0,0,16.0196547,108.2034422,2,7.224941451260469,5.100922112308704,3.798899308189653
2.3,98.0,2.0,1.0,2.0,0,16.0223912,108.2055766,2,6.8459135214287565,4.732977018665439,3.4965906241346816
2.7,61.0,3.0,2.0,2.0,0,16.0117393,108.1982179,2,8.257998957836824,6.129300091520852,4.720697164365155
2.85,50.0,35.0,2.0,2.0,0,16.0308209,108.2265453,1,4.839727450332056,3.470221787051035,3.4857034580559265
