price,area,road_width,floors,bedroom,loc,garage
": 2,7 tỷ","64 m
2",4m,2 lầu,2 phòng ngủ,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ,",chỗ để xe
": 2,6 tỷ","105 m
2",15m,1 lầu,2 phòng ngủ,"Đường Trường Sơn, Xã Hòa Nhơn, Huyện Hòa Vang,",0
": 2,45 tỷ","36 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,7 tỷ","73 m
2","2,5m",2 lầu,4 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,5 tỷ","70 m
2",3m,1 lầu,1 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,15 tỷ","37 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 2,7 tỷ","48 m
2",4m,1 lầu,2 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 2,4 tỷ","27 m
2",3m,2 lầu,2 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 2,45 tỷ","37 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",0
: 3 tỷ,"73 m
2",2m,2 lầu,2 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 2,7 tỷ","52 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 2,7 tỷ","50 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu,",0
": 2,45 tỷ","50 m
2",2m,2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,6 tỷ","42 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu,",0
": 2,78 tỷ","58 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 1,85 tỷ","34 m
2",3m,1 lầu,1 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 2,75 tỷ","51 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 2,29 tỷ","31 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 4,5 tỷ","90 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,9 tỷ","64 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Lê Thị Hồng Gấm, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 5,2 tỷ","82 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 5,5 tỷ","137 m
2","4,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 3,5 tỷ","70 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường Trần Quý Hai, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 4,6 tỷ","100 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường An Hòa 8, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 2,8 tỷ","45 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",0
": 2,45 tỷ","34 m
2","2,5m",3 lầu,2 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",0
": 2,85 tỷ","48 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",0
": 2,75 tỷ","60 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Phạm Ngũ Lão, Phường Hải Châu II, Quận Hải Châu,",0
": 2,95 tỷ","43 m
2",3m,3 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Nam Dương, Quận Hải Châu,",0
": 2,25 tỷ","63 m
2",2m,2 lầu,2 phòng ngủ,"Đường Nguyễn Hoàng, Phường Nam Dương, Quận Hải Châu,",0
": 2,8 tỷ","47 m
2",3m,2 lầu,2 phòng ngủ,"Đường Lê Hồng Phong, Phường Phước Ninh, Quận Hải Châu,",0
": 2,29 tỷ","31 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 2,75 tỷ","51 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 2,45 tỷ","36 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,45 tỷ","50 m
2",2m,2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 2,6 tỷ","42 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu,",0
": 2,7 tỷ","52 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 2,78 tỷ","58 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu,",0
": 1,85 tỷ","34 m
2",3m,1 lầu,1 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 2,7 tỷ","50 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu,",0
": 2,7 tỷ","48 m
2",4m,1 lầu,2 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 2,15 tỷ","37 m
2","2,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
": 2,85 tỷ","100 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Phạm Công Trứ, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 3,2 tỷ","100 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Liêm Lạc 4, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 2,85 tỷ","69 m
2",7m,1 lầu,3 phòng ngủ,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 1,78 tỷ","13 m
2","7,5m",2 lầu,1 phòng ngủ,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê,",0
": 2,95 tỷ","100 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 3,9 tỷ","70 m
2","5,5m",3 lầu,6 phòng ngủ,"Đường Bình Hòa 8, Phường Khuê Trung, Quận Cẩm Lệ,",0
": 3,55 tỷ","109 m
2","7,5m",1 lầu,1 phòng ngủ,"Đường Nguyễn Công Hoan, Phường Hòa An, Quận Cẩm Lệ,",0
": 3,95 tỷ","86 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Hòa An 8, Phường Hòa An, Quận Cẩm Lệ,",0
": 3,4 tỷ","90 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Nhơn Hòa 4, Phường Hòa An, Quận Cẩm Lệ,",0
": 4,5 tỷ","100 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Hoàng Đình Ái, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 4,75 tỷ","56 m
2","3,5m",2 lầu,3 phòng ngủ,"Đường An Mỹ 4, Phường An Hải Tây, Quận Sơn Trà,",0
": 4,5 tỷ","90 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,9 tỷ","64 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Lê Thị Hồng Gấm, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 5,2 tỷ","82 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 5,5 tỷ","137 m
2","4,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 5,2 tỷ","85 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Vũ Đình Long, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 7,6 tỷ","125 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Khánh Toàn, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 9,7 tỷ","100 m
2",6m,2 lầu,3 phòng ngủ,"Đường Trần Tống, Phường Thạc Gián, Quận Thanh Khê,",chỗ để xe
: 7 tỷ,"130 m
2",10m,2 lầu,2 phòng ngủ,"Đường Trần Nhân Tông, Phường Thọ Quang, Quận Sơn Trà,",0
": 23,9 tỷ","177 m
2",7m,3 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
: 7 tỷ,"130 m
2",10m,2 lầu,2 phòng ngủ,"Đường Trần Nhân Tông, Phường Thọ Quang, Quận Sơn Trà,",0
": 23,9 tỷ","177 m
2",7m,3 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
: 21 tỷ,"90 m
2",10m,2 lầu,3 phòng ngủ,"Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
: 25 tỷ,"200 m
2",15m,2 lầu,3 phòng ngủ,"Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu,",0
: 27 tỷ,"160 m
2",7m,4 lầu,12 phòng ngủ,"Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
: 335 triệu / m2,"211 m
2",32m,2 lầu,2 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",0
: 101 tỷ,"356 m
2",10m,3 lầu,3 phòng ngủ,"Đường Lê Duẩn, Phường Hải Châu I, Quận Hải Châu,",0
: 60 tỷ,"211 m
2",32m,3 lầu,4 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,",0
: 59 tỷ,"220 m
2",22m,5 lầu,10 phòng ngủ,"Đường Hoàng Sa, Phường Thọ Quang, Quận Sơn Trà,",0
: 40 tỷ,"270 m
2",10m,4 lầu,4 phòng ngủ,"Đường Thăng Long, Phường Hòa Cường Nam, Quận Hải Châu,",0
: 20 tỷ,"200 m
2",5m,4 lầu,25 phòng ngủ,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà,",0
: 45 tỷ,"239 m
2",7m,4 lầu,8 phòng ngủ,"Đường Lý Thường Kiệt, Phường Thạch Thang, Quận Hải Châu,",0
: 52 tỷ,"207 m
2",15m,4 lầu,8 phòng ngủ,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê,",0
": 23,5 tỷ","106 m
2",20m,4 lầu,4 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,",0
: 50 tỷ,"211 m
2",20m,4 lầu,8 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê,",0
: 25 tỷ,"120 m
2",7m,3 lầu,3 phòng ngủ,"Đường An Thượng 4, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
: 80 tỷ,"240 m
2",9m,3 lầu,3 phòng ngủ,"Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu,",0
": 18,5 tỷ","78 m
2",20m,4 lầu,5 phòng ngủ,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê,",0
: 66 tỷ,"162 m
2",10m,11 lầu,26 phòng ngủ,"Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 7,9 tỷ","95 m
2","7,5m",2 lầu,3 phòng ngủ,"Đuờng Vũ Hữu, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
: 7 tỷ,"130 m
2",10m,2 lầu,2 phòng ngủ,"Đường Trần Nhân Tông, Phường Thọ Quang, Quận Sơn Trà,",0
": 23,9 tỷ","177 m
2",7m,3 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu,",0
: 25 tỷ,"200 m
2",15m,2 lầu,3 phòng ngủ,"Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu,",0
: 21 tỷ,"90 m
2",10m,2 lầu,3 phòng ngủ,"Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
: 59 tỷ,"220 m
2",22m,5 lầu,10 phòng ngủ,"Đường Hoàng Sa, Phường Thọ Quang, Quận Sơn Trà,",0
: 80 tỷ,"240 m
2",9m,3 lầu,3 phòng ngủ,"Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu,",0
