price,area,road_width,floors,bedroom,loc,garage
5.5,137.0,45.0,3.0,4.0,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",1
2.85,100.0,55.0,1.0,2.0,"Đường Phạm Công Trứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",0
3.2,100.0,55.0,2.0,3.0,"Đường Liêm Lạc 4, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",0
2.85,69.0,7.0,1.0,3.0,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
5.2,85.0,75.0,2.0,2.0,"Đường Vũ Đình Long, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",1
7.6,15.0,75.0,3.0,4.0,"Đường Nguyễn Khánh Toàn, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",1
9.7,100.0,6.0,2.0,3.0,"Đường Trần Tống, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",1
7.0,130.0,10.0,2.0,2.0,"Đường Trần Nhân Tông, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",0
23.9,177.0,7.0,3.0,3.0,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",0
21.0,90.0,10.0,2.0,3.0,"Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0
25.0,0.0,15.0,2.0,3.0,"Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",0
27.0,160.0,7.0,4.0,12.0,"Đường Lê Quang Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0
101.0,356.0,10.0,3.0,3.0,"Đường Lê Duẩn, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",0
60.0,11.0,32.0,3.0,4.0,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",0
59.0,0.0,22.0,5.0,10.0,"Đường Hoàng Sa, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",0
40.0,70.0,10.0,4.0,4.0,"Đường Thăng Long, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",0
20.0,0.0,5.0,4.0,25.0,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",0
45.0,39.0,7.0,4.0,8.0,"Đường Lý Thường Kiệt, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",0
52.0,7.0,15.0,4.0,8.0,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",0
23.5,106.0,20.0,4.0,4.0,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",0
50.0,11.0,20.0,4.0,8.0,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",0
25.0,10.0,7.0,3.0,3.0,"Đường An Thượng 4, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0
80.0,40.0,9.0,3.0,3.0,"Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",0
18.5,78.0,20.0,4.0,5.0,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",0
66.0,16.0,10.0,11.0,26.0,"Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0
7.9,95.0,75.0,2.0,3.0,"Đuờng Vũ Hữu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",1
4.48,73.0,55.0,2.0,3.0,"Đường Hoà Minh 14, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",1
3.6,68.0,4.0,3.0,4.0,"Đường Phạm Văn Nghị, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",0
4.0,100.0,75.0,2.0,4.0,"Đường An Hòa 5, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",1
37.0,0.0,12.0,7.0,25.0,"Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",1
5.9,90.0,7.0,3.0,3.0,"Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",0
2.8,55.0,7.0,2.0,3.0,"Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",0
4.65,100.0,10.0,3.0,4.0,"Đường Cao Hồng Lãnh, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng",1
4.5,97.0,7.0,2.0,3.0,"Đường Hàn Mạc Tử, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",0
3.9,10.0,7.0,1.0,2.0,"Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",0
2.4,10.0,5.0,1.0,3.0,"Đường Nguyễn Lương Bằng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",0
3.9,60.0,5.0,3.0,3.0,"Đường An Trung, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",0
4.6,77.0,6.0,2.0,3.0,"Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0
2.45,60.0,3.0,2.0,2.0,"Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",0
5.8,55.0,5.0,3.0,4.0,"Đường Mỹ Khê, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",0
2.4,116.0,5.0,2.0,2.0,"Đường Nguyễn Công Hoan, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
2.6,60.0,4.0,2.0,2.0,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",1
2.5,45.0,3.0,2.0,2.0,"Đường Bế Văn Đàn, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",1
4.25,90.0,5.0,2.0,3.0,"Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",0
3.0,11.0,5.0,1.0,2.0,"Đường Bá Giáng 1, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng",0
3.9,65.0,5.0,3.0,4.0,"Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",0
7.5,100.0,10.0,3.0,5.0,"Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",1
2.9,55.0,3.0,2.0,2.0,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",0
4.1,58.0,7.0,3.0,3.0,"Đường Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",0
6.9,55.0,7.0,3.0,3.0,"Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",1
3.6,40.0,5.0,3.0,3.0,"Đường Tiểu La, Phường Hòa Cường, Quận Hải Châu, Đà Nẵng",1
3.0,83.0,5.0,2.0,3.0,"Đường 2/9, Phường Hòa Cường, Quận Hải Châu, Đà Nẵng",1
1.95,65.0,3.0,1.0,2.0,"Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",1
1.75,65.0,4.0,1.0,2.0,"Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",1
2.6,50.0,3.0,2.0,2.0,"Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",1
2.7,75.0,3.0,2.0,5.0,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",1
2.8,89.0,35.0,1.0,3.0,"Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",0
5.89,75.0,5.0,3.0,4.0,"Đường Tân Thái, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",0
4.5,110.0,5.0,2.0,6.0,"Đường Vùng Trung 1, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",0
5.3,85.0,5.0,2.0,3.0,"Đường Trần Hữu Trang, Phường Hòa Cường, Quận Hải Châu, Đà Nẵng",0
5.25,130.0,5.0,2.0,5.0,"Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0
4.5,100.0,5.0,3.0,3.0,"Đường Nguyễn Khoa Chiêm, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
3.15,80.0,5.0,1.0,3.0,"Đường An Trung Đông 1, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",0
4.3,85.0,55.0,3.0,4.0,"Đường Đặng Phúc Thông, Phường An Khê, Quận Thanh Khê, Đà Nẵng",0
6.2,100.0,30.0,2.0,3.0,"Đường An Dương Vương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",0
2.3,8.0,3.0,3.0,2.0,"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",1
4.7,85.0,5.0,2.0,5.0,"Đường Lê Duẩn, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",0
2.65,40.0,3.0,2.0,2.0,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng",1
5.45,115.0,75.0,3.0,4.0,"Đường Sơn Thủy, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",0
3.9,60.0,5.0,2.0,3.0,"Đường Nại Thịnh, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",0
6.3,80.0,7.0,3.0,3.0,"Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",0
1.95,45.0,3.0,2.0,3.0,"Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",1
5.0,50.0,7.0,2.0,3.0,"Đường Tô Hiến Thành, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",0
4.5,80.0,5.0,2.0,3.0,"Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",0
2.05,50.0,3.0,2.0,2.0,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",0
3.35,8.0,75.0,2.0,3.0,"Đường Nguyễn Xuân Hữu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
3.7,100.0,5.0,3.0,3.0,"Đường Nhất Chi Mai, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
